loan_amount,purpose,annual_income,home_ownership,issue_date,emp_length,dti,term,Encoded Homeownership,Encoded Loan Purpose,Income Group,Term (Numeric),,,
6300,car,60000,MORTGAGE,11/11/2021,6 years,0.0366, 36 months,2,1,Medium,36,,,
6000,car,34000,MORTGAGE,10/03/2021,2 years,0.1486, 36 months,2,1,Medium,36,,,
4750,car,18000,OWN,10/05/2021,< 1 year,0.216, 36 months,3,1,Low,36,,,
4800,car,43800,OWN,10/01/2021,10+ years,0.0737, 36 months,3,1,Medium,36,,,
9000,car,98736,OWN,09/05/2021,10+ years,0.0812, 36 months,3,1,High,36,,,
1850,car,48000,OWN,11/04/2021,1 year,0.051, 36 months,3,1,Medium,36,,,
4200,car,27852,OWN,09/07/2021,< 1 year,0.1021, 36 months,3,1,Low,36,,,
6000,car,48000,RENT,11/06/2021,6 years,0.2585, 36 months,1,1,Medium,36,,,
7200,car,30000,RENT,11/10/2021,7 years,0.1872, 36 months,1,1,Medium,36,,,
2400,car,22800,RENT,11/06/2021,3 years,0.0526, 36 months,1,1,Low,36,,,
7500,car,12720,RENT,09/12/2021,1 year,0, 36 months,1,1,Low,36,,,
5550,car,31000,RENT,10/03/2021,5 years,0.0159, 36 months,1,1,Medium,36,,,
22000,car,89650,RENT,09/11/2021,8 years,0.0056, 36 months,1,1,Medium,36,,,
10000,car,45000,RENT,11/05/2021,3 years,0.1464, 36 months,1,1,Medium,36,,,
8000,car,39996,RENT,09/03/2021,10+ years,0.2298, 36 months,1,1,Medium,36,,,
5000,car,49800,RENT,10/05/2021,< 1 year,0.174, 36 months,1,1,Medium,36,,,
3200,car,15000,RENT,09/05/2021,8 years,0.1688, 36 months,1,1,Low,36,,,
6000,car,48000,RENT,08/10/2021,2 years,0.1753, 36 months,1,1,Medium,36,,,
3000,car,37440,RENT,08/03/2021,< 1 year,0.0772, 36 months,1,1,Medium,36,,,
11200,car,105000,RENT,11/08/2021,7 years,0.135, 36 months,1,1,Medium,36,,,
4000,car,15000,RENT,08/11/2021,2 years,0.14, 36 months,1,1,Low,36,,,
3000,car,59100,RENT,11/12/2021,4 years,0.1287, 36 months,1,1,Medium,36,,,
6000,car,126000,MORTGAGE,11/04/2021,4 years,0.1529, 36 months,2,1,Medium,36,,,
10000,car,173000,MORTGAGE,07/09/2021,< 1 year,0.0072, 36 months,2,1,Medium,36,,,
10000,car,60000,MORTGAGE,08/03/2021,< 1 year,0.0894, 36 months,2,1,Medium,36,,,
8000,car,40000,MORTGAGE,08/02/2021,5 years,0.1872, 36 months,2,1,Medium,36,,,
6000,car,200000,MORTGAGE,08/02/2021,9 years,0.0484, 36 months,2,1,Medium,36,,,
5000,car,72000,MORTGAGE,08/01/2021,10+ years,0.2257, 36 months,2,1,Medium,36,,,
4500,car,10000,OWN,08/02/2021,2 years,0, 36 months,3,1,Low,36,,,
11000,car,62000,RENT,08/01/2021,10+ years,0.1407, 36 months,1,1,Medium,36,,,
3500,car,28800,RENT,08/01/2021,< 1 year,0, 36 months,1,1,Low,36,,,
6000,car,50000,RENT,08/02/2021,2 years,0.0506, 36 months,1,1,Medium,36,,,
5500,car,37000,RENT,08/01/2021,3 years,0.1674, 36 months,1,1,Medium,36,,,
3500,car,54263,RENT,08/03/2021,< 1 year,0.1238, 36 months,1,1,Medium,36,,,
4000,car,18000,RENT,07/08/2021,1 year,0.18, 36 months,1,1,Low,36,,,
3000,car,41000,RENT,08/02/2021,2 years,0.1692, 36 months,1,1,Medium,36,,,
4400,car,85000,MORTGAGE,09/10/2021,1 year,0.0239, 36 months,2,1,Medium,36,,,
8500,car,28500,MORTGAGE,09/05/2021,1 year,0.0223, 36 months,2,1,Low,36,,,
5000,car,40308,MORTGAGE,09/01/2021,1 year,0.0578, 36 months,2,1,Medium,36,,,
7000,car,149400,MORTGAGE,11/10/2021,1 year,0.0994, 36 months,2,1,Medium,36,,,
2000,car,54000,MORTGAGE,11/06/2021,1 year,0.1129, 36 months,2,1,Medium,36,,,
2400,car,38400,MORTGAGE,11/05/2021,1 year,0.0319, 36 months,2,1,Medium,36,,,
4800,car,60000,MORTGAGE,11/06/2021,1 year,0.0242, 36 months,2,1,Medium,36,,,
4000,car,58000,MORTGAGE,11/01/2021,1 year,0.2127, 36 months,2,1,Medium,36,,,
8000,car,31000,MORTGAGE,10/12/2021,10+ years,0.0283, 36 months,2,1,Medium,36,,,
3000,car,33600,MORTGAGE,11/06/2021,10+ years,0.0161, 36 months,2,1,Medium,36,,,
8000,car,64320,MORTGAGE,11/10/2021,10+ years,0.025, 36 months,2,1,Medium,36,,,
5000,car,79200,MORTGAGE,11/06/2021,10+ years,0.0218, 36 months,2,1,Medium,36,,,
3200,car,63996,MORTGAGE,11/09/2021,10+ years,0.0651, 36 months,2,1,Medium,36,,,
7400,car,72000,MORTGAGE,11/03/2021,10+ years,0.2075, 36 months,2,1,Medium,36,,,
5000,car,72000,MORTGAGE,11/11/2021,10+ years,0.1782, 36 months,2,1,Medium,36,,,
5000,car,41784,MORTGAGE,11/09/2021,10+ years,0.1872, 36 months,2,1,Medium,36,,,
6000,car,96000,MORTGAGE,11/10/2021,10+ years,0.238, 36 months,2,1,Medium,36,,,
6000,car,54000,MORTGAGE,11/10/2021,10+ years,0.2407, 36 months,2,1,Medium,36,,,
9000,car,36000,MORTGAGE,11/02/2021,10+ years,0.2293, 36 months,2,1,Medium,36,,,
7200,car,114000,MORTGAGE,11/10/2021,10+ years,0.1658, 36 months,2,1,Medium,36,,,
5650,car,48000,MORTGAGE,11/09/2021,10+ years,0.1732, 36 months,2,1,Medium,36,,,
6000,car,39600,MORTGAGE,11/06/2021,10+ years,0.1406, 36 months,2,1,Medium,36,,,
3500,car,108000,MORTGAGE,10/07/2021,10+ years,0.1976, 36 months,2,1,Medium,36,,,
4000,car,57431,MORTGAGE,10/07/2021,10+ years,0.0618, 36 months,2,1,Medium,36,,,
6000,car,32468.8,MORTGAGE,11/11/2021,10+ years,0.2935, 36 months,2,1,Medium,36,,,
7000,car,26000,MORTGAGE,09/11/2021,10+ years,0.0429, 36 months,2,1,Low,36,,,
5000,car,75000,MORTGAGE,09/10/2021,10+ years,0.0234, 36 months,2,1,Medium,36,,,
1800,car,58000,MORTGAGE,11/11/2021,10+ years,0.2692, 36 months,2,1,Medium,36,,,
10000,car,50000,MORTGAGE,11/04/2021,10+ years,0.203, 36 months,2,1,Medium,36,,,
6500,car,48000,MORTGAGE,11/02/2021,10+ years,0.1988, 36 months,2,1,Medium,36,,,
5000,car,73000,MORTGAGE,11/05/2021,10+ years,0.1433, 36 months,2,1,Medium,36,,,
8000,car,68000,MORTGAGE,11/07/2021,10+ years,0.0286, 36 months,2,1,Medium,36,,,
8000,car,112992,MORTGAGE,11/05/2021,10+ years,0.1825, 36 months,2,1,Medium,36,,,
8000,car,135000,MORTGAGE,09/04/2021,10+ years,0.0518, 36 months,2,1,Medium,36,,,
6000,car,75181,MORTGAGE,10/02/2021,10+ years,0.1831, 36 months,2,1,Medium,36,,,
3000,car,110400,MORTGAGE,11/09/2021,10+ years,0.1916, 36 months,2,1,Medium,36,,,
15000,car,48000,MORTGAGE,09/04/2021,10+ years,0.1257, 36 months,2,1,Medium,36,,,
8700,car,54000,MORTGAGE,09/12/2021,2 years,0.0267, 36 months,2,1,Medium,36,,,
5600,car,85000,MORTGAGE,11/04/2021,2 years,0.04, 36 months,2,1,Medium,36,,,
1800,car,36000,MORTGAGE,10/12/2021,2 years,0.1997, 36 months,2,1,Medium,36,,,
7000,car,36000,MORTGAGE,11/08/2021,2 years,0.1883, 36 months,2,1,Medium,36,,,
4600,car,120000,MORTGAGE,10/08/2021,3 years,0.052, 36 months,2,1,Medium,36,,,
2000,car,60000,MORTGAGE,09/12/2021,3 years,0.1004, 36 months,2,1,Medium,36,,,
3800,car,62352,MORTGAGE,11/12/2021,3 years,0.1207, 36 months,2,1,Medium,36,,,
5000,car,54000,MORTGAGE,11/03/2021,3 years,0.1129, 36 months,2,1,Medium,36,,,
10000,car,60000,MORTGAGE,09/04/2021,3 years,0.0036, 36 months,2,1,Medium,36,,,
3000,car,66000,MORTGAGE,11/11/2021,4 years,0.0118, 36 months,2,1,Medium,36,,,
16000,car,241875,MORTGAGE,09/12/2021,4 years,0.064, 36 months,2,1,Medium,36,,,
1300,car,24000,MORTGAGE,11/09/2021,4 years,0.067, 36 months,2,1,Low,36,,,
4500,car,96000,MORTGAGE,10/07/2021,4 years,0.0829, 36 months,2,1,Medium,36,,,
5000,car,90000,MORTGAGE,08/11/2021,4 years,0.0428, 36 months,2,1,Medium,36,,,
9000,car,81804,MORTGAGE,09/05/2021,4 years,0.0898, 36 months,2,1,Medium,36,,,
2000,car,28880,MORTGAGE,09/10/2021,4 years,0.1596, 36 months,2,1,Low,36,,,
4000,car,51000,MORTGAGE,11/09/2021,5 years,0.1753, 36 months,2,1,Medium,36,,,
3500,car,49000,MORTGAGE,11/08/2021,5 years,0.0585, 36 months,2,1,Medium,36,,,
6000,car,42000,MORTGAGE,11/07/2021,5 years,0.044, 36 months,2,1,Medium,36,,,
5000,car,50000,MORTGAGE,09/11/2021,5 years,0.0317, 36 months,2,1,Medium,36,,,
8000,car,85000,MORTGAGE,10/04/2021,5 years,0.0329, 36 months,2,1,Medium,36,,,
3000,car,50000,MORTGAGE,09/07/2021,5 years,0.0833, 36 months,2,1,Medium,36,,,
6000,car,139200,MORTGAGE,11/12/2021,5 years,0.2009, 36 months,2,1,Medium,36,,,
4000,car,57600,MORTGAGE,11/03/2021,6 years,0.0725, 36 months,2,1,Medium,36,,,
5600,car,37459,MORTGAGE,11/04/2021,6 years,0.0061, 36 months,2,1,Medium,36,,,
4000,car,58500,MORTGAGE,08/11/2021,6 years,0.0507, 36 months,2,1,Medium,36,,,
3050,car,60000,MORTGAGE,11/02/2021,6 years,0.014, 36 months,2,1,Medium,36,,,
6000,car,65000,MORTGAGE,11/02/2021,7 years,0.1429, 36 months,2,1,Medium,36,,,
5000,car,72000,MORTGAGE,11/03/2021,7 years,0.0217, 36 months,2,1,Medium,36,,,
15000,car,123000,MORTGAGE,10/11/2021,7 years,0.234, 36 months,2,1,Medium,36,,,
7800,car,110000,MORTGAGE,11/01/2021,8 years,0.0524, 36 months,2,1,Medium,36,,,
4500,car,48000,MORTGAGE,11/06/2021,8 years,0.109, 36 months,2,1,Medium,36,,,
5900,car,77040,MORTGAGE,11/09/2021,8 years,0.205, 36 months,2,1,Medium,36,,,
2000,car,60000,MORTGAGE,11/08/2021,8 years,0.2712, 36 months,2,1,Medium,36,,,
3000,car,40560,MORTGAGE,11/04/2021,8 years,0.0737, 36 months,2,1,Medium,36,,,
3600,car,60000,MORTGAGE,11/05/2021,9 years,0.15, 36 months,2,1,Medium,36,,,
5500,car,54960,MORTGAGE,11/11/2021,9 years,0.1085, 36 months,2,1,Medium,36,,,
5900,car,84000,MORTGAGE,11/04/2021,9 years,0.1734, 36 months,2,1,Medium,36,,,
4000,car,65000,MORTGAGE,11/05/2021,< 1 year,0.1927, 36 months,2,1,Medium,36,,,
12000,car,50004,MORTGAGE,09/03/2021,< 1 year,0.101, 36 months,2,1,Medium,36,,,
10000,car,52000,MORTGAGE,10/02/2021,< 1 year,0.0909, 36 months,2,1,Medium,36,,,
4000,car,115000,MORTGAGE,11/11/2021,10+ years,0.0271, 36 months,2,1,Medium,36,,,
8000,car,99996,MORTGAGE,09/05/2021,3 years,0.0432, 36 months,2,1,Medium,36,,,
5000,car,60000,MORTGAGE,11/07/2021,5 years,0.2096, 36 months,2,1,Medium,36,,,
3000,car,45000,MORTGAGE,11/11/2021,1 year,0.1632, 36 months,2,1,Medium,36,,,
4000,car,40000,MORTGAGE,11/03/2021,1 year,0.1041, 36 months,2,1,Medium,36,,,
8000,car,55000,MORTGAGE,11/06/2021,1 year,0.1647, 36 months,2,1,Medium,36,,,
2100,car,72000,MORTGAGE,11/04/2021,1 year,0.1887, 36 months,2,1,Medium,36,,,
8000,car,75000,MORTGAGE,10/01/2021,10+ years,0.0173, 36 months,2,1,Medium,36,,,
6000,car,85000,MORTGAGE,11/05/2021,10+ years,0.0476, 36 months,2,1,Medium,36,,,
4400,car,70000,MORTGAGE,10/07/2021,10+ years,0.101, 36 months,2,1,Medium,36,,,
4975,car,48000,MORTGAGE,11/02/2021,10+ years,0.104, 36 months,2,1,Medium,36,,,
2100,car,73400,MORTGAGE,10/04/2021,10+ years,0.0281, 36 months,2,1,Medium,36,,,
4800,car,68800,MORTGAGE,11/04/2021,10+ years,0.1387, 36 months,2,1,Medium,36,,,
4000,car,40000,MORTGAGE,11/03/2021,10+ years,0.0885, 36 months,2,1,Medium,36,,,
3000,car,65500,MORTGAGE,11/06/2021,10+ years,0.2255, 36 months,2,1,Medium,36,,,
1925,car,52800,MORTGAGE,10/10/2021,10+ years,0.1527, 36 months,2,1,Medium,36,,,
8000,car,60000,MORTGAGE,11/10/2021,10+ years,0.0858, 36 months,2,1,Medium,36,,,
5000,car,105000,MORTGAGE,11/01/2021,2 years,0.0514, 36 months,2,1,Medium,36,,,
1500,car,60000,MORTGAGE,11/11/2021,2 years,0.1446, 36 months,2,1,Medium,36,,,
4800,car,52000,MORTGAGE,10/06/2021,2 years,0.1452, 36 months,2,1,Medium,36,,,
11000,car,69000,MORTGAGE,10/03/2021,2 years,0.2297, 36 months,2,1,Medium,36,,,
6000,car,76800,MORTGAGE,11/11/2021,3 years,0.1034, 36 months,2,1,Medium,36,,,
7750,car,70000,MORTGAGE,11/11/2021,3 years,0.2038, 36 months,2,1,Medium,36,,,
4500,car,60000,MORTGAGE,09/12/2021,3 years,0.1276, 36 months,2,1,Medium,36,,,
6000,car,99400,MORTGAGE,11/04/2021,3 years,0.089, 36 months,2,1,Medium,36,,,
9600,car,96000,MORTGAGE,11/08/2021,4 years,0.016, 36 months,2,1,Medium,36,,,
8000,car,95000,MORTGAGE,11/01/2021,4 years,0.0728, 36 months,2,1,Medium,36,,,
1500,car,45000,MORTGAGE,10/05/2021,4 years,0.048, 36 months,2,1,Medium,36,,,
2000,car,60000,MORTGAGE,11/08/2021,5 years,0.0188, 36 months,2,1,Medium,36,,,
16000,car,72000,MORTGAGE,10/01/2021,5 years,0.2152, 36 months,2,1,Medium,36,,,
5000,car,80000,MORTGAGE,11/07/2021,5 years,0.1452, 36 months,2,1,Medium,36,,,
6000,car,38400,MORTGAGE,10/10/2021,5 years,0.1072, 36 months,2,1,Medium,36,,,
3900,car,52000,MORTGAGE,10/03/2021,5 years,0.1048, 36 months,2,1,Medium,36,,,
11000,car,100000,MORTGAGE,10/04/2021,5 years,0.0803, 36 months,2,1,Medium,36,,,
6000,car,70000,MORTGAGE,10/12/2021,6 years,0.0807, 36 months,2,1,Medium,36,,,
6000,car,51000,MORTGAGE,10/12/2021,6 years,0.0137, 36 months,2,1,Medium,36,,,
4000,car,41664,MORTGAGE,11/07/2021,6 years,0.1529, 36 months,2,1,Medium,36,,,
12975,car,97000,MORTGAGE,10/11/2021,6 years,0.1018, 36 months,2,1,Medium,36,,,
3000,car,68000,MORTGAGE,11/06/2021,7 years,0.0145, 36 months,2,1,Medium,36,,,
4000,car,52700,MORTGAGE,09/10/2021,7 years,0.1724, 36 months,2,1,Medium,36,,,
3000,car,55000,MORTGAGE,11/07/2021,7 years,0.1462, 36 months,2,1,Medium,36,,,
5950,car,45000,MORTGAGE,09/09/2021,< 1 year,0.1139, 36 months,2,1,Medium,36,,,
9600,car,58000,MORTGAGE,10/02/2021,< 1 year,0.0989, 36 months,2,1,Medium,36,,,
5000,car,80796,MORTGAGE,11/10/2021,10+ years,0.1019, 36 months,2,1,Medium,36,,,
5100,car,30000,MORTGAGE,11/09/2021,3 years,0.092, 36 months,2,1,Medium,36,,,
7000,car,73440,MORTGAGE,11/05/2021,7 years,0.0559, 36 months,2,1,Medium,36,,,
3000,car,26796,MORTGAGE,08/08/2021,10+ years,0.0658, 36 months,2,1,Low,36,,,
3500,car,47500,MORTGAGE,11/11/2021,10+ years,0.1976, 36 months,2,1,Medium,36,,,
7000,car,79000,MORTGAGE,09/09/2021,1 year,0.0317, 36 months,2,1,Medium,36,,,
5200,car,49536,MORTGAGE,11/09/2021,10+ years,0.0908, 36 months,2,1,Medium,36,,,
4200,car,96000,MORTGAGE,11/06/2021,10+ years,0.1465, 36 months,2,1,Medium,36,,,
1200,car,69600,MORTGAGE,11/06/2021,10+ years,0.131, 36 months,2,1,Medium,36,,,
3600,car,84554.16,MORTGAGE,11/10/2021,3 years,0.1524, 36 months,2,1,Medium,36,,,
3000,car,90000,MORTGAGE,11/02/2021,3 years,0.1035, 36 months,2,1,Medium,36,,,
4000,car,85000,MORTGAGE,10/05/2021,3 years,0.1276, 36 months,2,1,Medium,36,,,
4650,car,35100,MORTGAGE,10/09/2021,3 years,0.1593, 36 months,2,1,Medium,36,,,
1450,car,45600,MORTGAGE,11/06/2021,3 years,0.1605, 36 months,2,1,Medium,36,,,
2400,car,81504,MORTGAGE,11/01/2021,6 years,0.2488, 36 months,2,1,Medium,36,,,
6000,car,97000,MORTGAGE,11/09/2021,6 years,0.0878, 36 months,2,1,Medium,36,,,
7000,car,57000,MORTGAGE,10/06/2021,8 years,0.1166, 36 months,2,1,Medium,36,,,
8000,car,102996,MORTGAGE,09/09/2021,9 years,0.1547, 36 months,2,1,Medium,36,,,
7500,car,60000,MORTGAGE,11/06/2021,1 year,0.026, 36 months,2,1,Medium,36,,,
4200,car,66560,MORTGAGE,10/11/2021,10+ years,0.0757, 36 months,2,1,Medium,36,,,
5000,car,124800,MORTGAGE,11/10/2021,2 years,0.1124, 36 months,2,1,Medium,36,,,
6000,car,120000,MORTGAGE,10/10/2021,2 years,0.211, 36 months,2,1,Medium,36,,,
5500,car,97200,MORTGAGE,10/09/2021,2 years,0.0877, 36 months,2,1,Medium,36,,,
4500,car,100000,MORTGAGE,09/08/2021,4 years,0.096, 36 months,2,1,Medium,36,,,
7200,car,60000,MORTGAGE,10/11/2021,5 years,0.0398, 36 months,2,1,Medium,36,,,
4200,car,60000,MORTGAGE,11/12/2021,7 years,0.1984, 36 months,2,1,Medium,36,,,
3600,car,44000,MORTGAGE,11/06/2021,8 years,0.0982, 36 months,2,1,Medium,36,,,
9600,car,54000,MORTGAGE,11/10/2021,< 1 year,0.2227, 36 months,2,1,Medium,36,,,
5000,car,105000,MORTGAGE,09/01/2021,< 1 year,0.1409, 36 months,2,1,Medium,36,,,
3000,car,71040,MORTGAGE,11/04/2021,1 year,0.0764, 36 months,2,1,Medium,36,,,
7200,car,22000,MORTGAGE,10/08/2021,10+ years,0.1309, 36 months,2,1,Low,36,,,
8500,car,66000,MORTGAGE,10/07/2021,5 years,0.1149, 36 months,2,1,Medium,36,,,
4000,car,88000,MORTGAGE,10/08/2021,5 years,0.0068, 36 months,2,1,Medium,36,,,
3500,car,90000,MORTGAGE,10/11/2021,10+ years,0.0913, 36 months,2,1,Medium,36,,,
5100,car,60000,MORTGAGE,10/09/2021,10+ years,0.2288, 36 months,2,1,Medium,36,,,
9600,car,60000,MORTGAGE,10/10/2021,10+ years,0.0764, 36 months,2,1,Medium,36,,,
4500,car,65000,MORTGAGE,11/05/2021,10+ years,0.0762, 36 months,2,1,Medium,36,,,
4000,car,40000,MORTGAGE,10/12/2021,10+ years,0.1929, 36 months,2,1,Medium,36,,,
11200,car,131000,MORTGAGE,10/03/2021,2 years,0.2183, 36 months,2,1,Medium,36,,,
9000,car,57600,MORTGAGE,11/08/2021,2 years,0.1731, 36 months,2,1,Medium,36,,,
4200,car,96000,MORTGAGE,11/04/2021,2 years,0.2493, 36 months,2,1,Medium,36,,,
3600,car,31200,MORTGAGE,10/01/2021,3 years,0.1123, 36 months,2,1,Medium,36,,,
5000,car,76800,MORTGAGE,11/06/2021,3 years,0.1775, 36 months,2,1,Medium,36,,,
3000,car,75000,MORTGAGE,11/03/2021,3 years,0.1704, 36 months,2,1,Medium,36,,,
3250,car,39000,MORTGAGE,11/06/2021,4 years,0.0231, 36 months,2,1,Medium,36,,,
3000,car,65200,MORTGAGE,09/07/2021,5 years,0.1721, 36 months,2,1,Medium,36,,,
5000,car,83000,MORTGAGE,11/10/2021,6 years,0.1865, 36 months,2,1,Medium,36,,,
12000,car,62851,MORTGAGE,09/10/2021,8 years,0.0903, 36 months,2,1,Medium,36,,,
15000,car,54996,MORTGAGE,11/03/2021,9 years,0.0539, 36 months,2,1,Medium,36,,,
3050,car,56160,MORTGAGE,11/06/2021,2 years,0.0549, 36 months,2,1,Medium,36,,,
3300,car,45000,MORTGAGE,10/03/2021,1 year,0.1125, 36 months,2,1,Medium,36,,,
5600,car,120000,MORTGAGE,10/08/2021,10+ years,0.1896, 36 months,2,1,Medium,36,,,
12000,car,99750,MORTGAGE,10/12/2021,10+ years,0.0729, 36 months,2,1,Medium,36,,,
4800,car,108000,MORTGAGE,11/12/2021,10+ years,0.0964, 36 months,2,1,Medium,36,,,
3800,car,48000,MORTGAGE,10/11/2021,10+ years,0.2402, 36 months,2,1,Medium,36,,,
1700,car,90000,MORTGAGE,10/07/2021,4 years,0.1532, 36 months,2,1,Medium,36,,,
8500,car,70000,MORTGAGE,11/06/2021,9 years,0.2309, 36 months,2,1,Medium,36,,,
5525,car,46800,MORTGAGE,11/01/2021,1 year,0.1459, 36 months,2,1,Medium,36,,,
12000,car,150000,MORTGAGE,11/03/2021,5 years,0.0465, 36 months,2,1,Medium,36,,,
2500,car,120000,MORTGAGE,09/01/2021,7 years,0.1451, 36 months,2,1,Medium,36,,,
6000,car,100000,MORTGAGE,11/08/2021,9 years,0.1268, 36 months,2,1,Medium,36,,,
9000,car,41000,MORTGAGE,10/02/2021,3 years,0.106, 36 months,2,1,Medium,36,,,
7500,car,45000,MORTGAGE,10/04/2021,8 years,0.1, 36 months,2,1,Medium,36,,,
18000,car,99000,MORTGAGE,08/03/2021,10+ years,0.0886, 36 months,2,1,Medium,36,,,
3500,car,29000,MORTGAGE,09/11/2021,3 years,0.0691, 36 months,2,1,Low,36,,,
6000,car,105000,MORTGAGE,11/06/2021,10+ years,0.2058, 36 months,2,1,Medium,36,,,
1750,car,78000,MORTGAGE,11/09/2021,2 years,0.2128, 36 months,2,1,Medium,36,,,
5375,car,92904,MORTGAGE,08/11/2021,8 years,0.198, 36 months,2,1,Medium,36,,,
9500,car,150000,MORTGAGE,09/10/2021,6 years,0.025, 36 months,2,1,Medium,36,,,
6000,car,80000,MORTGAGE,10/05/2021,9 years,0.1761, 36 months,2,1,Medium,36,,,
4000,car,57600,MORTGAGE,11/03/2021,2 years,0.1429, 36 months,2,1,Medium,36,,,
4800,car,46140,MORTGAGE,10/06/2021,2 years,0.1165, 36 months,2,1,Medium,36,,,
3600,car,15000,MORTGAGE,09/07/2021,< 1 year,0.1528, 36 months,2,1,Low,36,,,
7600,car,144000,MORTGAGE,11/05/2021,< 1 year,0.0961, 36 months,2,1,Medium,36,,,
10000,car,100000,MORTGAGE,09/12/2021,< 1 year,0.0895, 36 months,2,1,Medium,36,,,
2500,car,44400,MORTGAGE,11/04/2021,8 years,0.0492, 36 months,2,1,Medium,36,,,
6400,car,53000,MORTGAGE,10/03/2021,3 years,0.1915, 36 months,2,1,Medium,36,,,
5000,car,19200,MORTGAGE,11/04/2021,6 years,0.1406, 36 months,2,1,Low,36,,,
5600,car,48000,MORTGAGE,11/09/2021,9 years,0.118, 36 months,2,1,Medium,36,,,
4000,car,103000,MORTGAGE,11/11/2021,6 years,0.1732, 36 months,2,1,Medium,36,,,
6000,car,130000,MORTGAGE,08/12/2021,10+ years,0.1106, 36 months,2,1,Medium,36,,,
3600,car,126000,MORTGAGE,11/06/2021,10+ years,0.1276, 36 months,2,1,Medium,36,,,
4000,car,50000,MORTGAGE,10/08/2021,10+ years,0.1586, 36 months,2,1,Medium,36,,,
3000,car,42000,MORTGAGE,10/05/2021,10+ years,0.11, 36 months,2,1,Medium,36,,,
4000,car,55000,OTHER,08/12/2021,5 years,0.0676, 36 months,0,1,Medium,36,,,
4000,car,63600,OWN,10/07/2021,1 year,0.2209, 36 months,3,1,Medium,36,,,
16000,car,200000,OWN,10/01/2021,10+ years,0.0694, 36 months,3,1,Medium,36,,,
2500,car,48000,OWN,11/08/2021,10+ years,0.092, 36 months,3,1,Medium,36,,,
3000,car,53000,OWN,11/10/2021,10+ years,0.0335, 36 months,3,1,Medium,36,,,
